,id,name,room_type_category,rate,latitude,longitude,address,neighbourhood,regionName,city,daily_price,total_price
1589,1048077832934489643,1904 VNMA - Jardins - Próximo Oscar Freire,entire_home,"5,0",-23.561085,-46.670554,Rua Melo Alves,Cerqueira César,Região Sudeste,São Paulo,600,960
1590,1227725117092273054,"ocb_414 - Conforto: Piscina, Varanda e Mais",entire_home,0,-23.61878,-46.67658,Avenida Vereador José Diniz,Campo Belo,Região Sudeste,São Paulo,600,600
1591,1022179,* Casa da Frente - Casa Sumaré,entire_home,"4,97",-23.54998,-46.67732,Avenida Paulo VI,Sumaré,Região Sudeste,São Paulo,599,799
1592,898615250900749694,Triplex Berrini: Conforto em Três Níveis l 02 Dorm,entire_home,0,-23.605680174582098,-46.6943877927634,Praça General Gentil Falcão,Vila Olímpia,Região Sudeste,São Paulo,600,780
1593,1015294595902900595,Apartamento lindo próximo à praia com Wi-Fi,entire_home,"5,0",-24.014267463344733,-46.437400263224724,Rua Doutor Júlio de Mesquita Filho,Aviação,Região Sudeste,Praia Grande,599,799
1594,1221723388859251287,Apto lindo e aconchegante|2 Dorm c/Suíte|Varanda -,entire_home,0,-24.026722797854244,-46.466291523112886,Avenida Presidente Castelo Branco,Ocian,Região Sudeste,Praia Grande,601,751
1595,1141245061087849587,Casa com piscina Praia Grande,entire_home,0,-24.057611909959256,-46.54421937033888,Rua Marquês de Monte Alegre,Real,Região Sudeste,Praia Grande,616,616
1596,1131218963394794353,Ap frente a praia com 3 quartos,entire_home,0,-23.98503333358669,-46.308206536693795,Avenida Bartholomeu de Gusmão,Ponta da Praia,Região Sudeste,Santos,624,844
1597,1080428066164255652,Flat luxuoso Itaim Bibi,entire_home,"4,5",-23.58119431057641,-46.67660493403673,Rua Pedroso Alvarenga,Vila Olímpia,Região Sudeste,São Paulo,628,628
1598,677244553352215611,A Casina: Apartamento 3 Bedrooms - Beco do  Batman,entire_home,"5,0",-23.5555904,-46.684619,Rua Patápio Silva,Vila Madalena,Região Sudeste,São Paulo,628,628
1599,52670631,Casa Praia Grande,entire_home,0,-24.01373,-46.43308,Rua Guiana Inglesa,Guilhermina,Região Sudeste,Praia Grande,628,628
1600,828406200235986938,kitnet para temporada,entire_home,0,-24.05267,-46.53123,Avenida Juscelino Kubitschek de Oliveira,Vilamar,Região Sudeste,Praia Grande,628,628
1601,1216242702193958786,Casa Condomínio Fechado,entire_home,0,-23.3139811,-46.7541307,Rua Dracena,Parque Montreal,Região Sudeste,Franco da Rocha,629,879
1602,42447927,Apartamento imobiliado,entire_home,0,-23.50446,-46.3593,Rua Silva Lisboa,Santa Tereza,Região Sudeste,Itaquaquecetuba,638,638
1603,851426547899484950,Apartamento próximo a praia,entire_home,0,-24.03033,-46.47581,Avenida Presidente Castelo Branco,Ocian,Região Sudeste,Praia Grande,628,628
1604,925604212748501451,Flat Transamerica Jardins 503,entire_home,0,-23.569750195598157,-46.66013181508876,Alameda Lorena,Cerqueira César,Região Sudeste,São Paulo,635,685
1605,610318792351871124,Oportunidade imperdível na Oscar Freire,entire_home,0,-23.56838,-46.66347,Rua Oscar Freire,Cerqueira César,Região Sudeste,São Paulo,636,936
1606,940620806026068252,Luxo,entire_home,0,-23.5355019,-46.6542604,Avenida Angélica,Santa Cecília,Região Sudeste,São Paulo,638,638
1607,1193439027395531759,Espaço para família e amigos,entire_home,0,-24.057161,-46.5459484,Rua Marquês de Herval,Real,Região Sudeste,Praia Grande,799,799
1608,1137702259456239734,Casa na praia Peruibe,entire_home,0,-23.57216,-46.62855,Rua Muniz de Souza,Aclimação,Região Sudeste,São Paulo,639,639
1609,1028229980052879323,apartamento na Praia Grande/TUPI,entire_home,0,-24.023945885048725,-46.46774153761098,Rua Doutor Ernesto Vegara,Tupi,Região Sudeste,Praia Grande,641,641
1610,984613074085881267,"casa isolada, próximo a praia",entire_home,0,-24.00942975739954,-46.399743921594535,Rua Brigadeiro José Ferreira,Canto do Forte,Região Sudeste,Praia Grande,639,639
1611,1099857554063799750,Studio Luxuoso 22,entire_home,0,-23.54253,-46.64457,Rua do Arouche,Vila Buarque,Região Sudeste,São Paulo,643,793
