,date,id,name,room_type_category,rate,latitude,longitude,daily_price,total_price
629,2024-08-20,711076110676101766,Loft aconchegante com vista para lagoa,entire_home,,-22.96157,-43.19988,R$1.084 por noite,Total de R$1.084
630,2024-08-20,2594098,Apartment Olympics Games - Maracanã,entire_home,,-22.92151,-43.24121,R$1.084 por noite,Total de R$1.084
631,2024-08-20,1200239581719611733,Aoartamento humilde,entire_home,Novo,-22.9708717,-43.1857601,"R$1.096 por noite, originalmente R$1.336",Total de R$1.096
632,2024-08-20,10771230,condo dumont 502,entire_home,,-22.98509,-43.21423,R$1.133 por noite,Total de R$1.133
633,2024-08-20,1036337132676252332,Lindo apart hotel!,entire_home,,-22.907396953865497,-43.13092472739966,R$1.141 por noite,Total de R$1.141
634,2024-08-20,1080998040340131811,Temporada  apto. 2 quartos quadra da praia Ipanema,entire_home,,-22.98543187191714,-43.20076547563076,R$1.141 por noite,Total de R$1.141
635,2024-08-20,3095899,Casa copacabana paz e amor,entire_home,"4,06 (16)",-22.9807,-43.19599,R$1.141 por noite,Total de R$1.141
636,2024-08-20,1039250858331898820,Promoção final do ano,entire_home,,-22.94391,-43.18366,R$1.141 por noite,Total de R$1.141
637,2024-08-20,53435619,Apto em Botafogo aconchegante,entire_home,,-22.95484,-43.1808,R$1.141 por noite,Total de R$1.141
638,2024-08-20,1045611701259257714,Alugo por temporada de 10 dias 1000 reais o dia!,entire_home,,-22.979247138738902,-43.19132405491168,R$1.141 por noite,Total de R$1.141
639,2024-08-20,14314615,Aluguel de quarto para duas meninas,entire_home,,-22.90722,-43.17385,R$1.141 por noite,Total de R$1.141
640,2024-08-20,2930312,,entire_home,,-22.92336,-43.21124,R$1.141 por noite,Total de R$1.141
641,2024-08-20,750818443976131489,Apartamento bem localizado em Copacabana + vista!,entire_home,,-22.96803,-43.1885,R$1.148 por noite,Total de R$1.198
642,2024-08-20,41136050,Apartamento 3 quartos- Quadra da Praia-Prox.Metrô,entire_home,"4,45 (22)",-22.98445,-43.21815,R$1.154 por noite,Total de R$1.404
643,2024-08-20,958597596401414373,Aptº entre Copacabana e Arpoador,entire_home,"4,6 (5)",-22.9866016,-43.1905035,R$1.158 por noite,Total de R$1.358
644,2024-08-20,2664267,RJ Tijuca  Metrô Saens Pena p/ 8 pessoas,entire_home,"4,65 (20)",-22.92663,-43.22829,R$1.169 por noite,Total de R$1.369
645,2024-08-20,9332647,Condomínio Prudente 402,entire_home,,-22.98533,-43.212,R$1.195 por noite,Total de R$1.195
646,2024-08-20,1003740454753726849,Leblon Boutique Ikonika 002 - 4 Quartos 8 pessoas,entire_home,"4,95 (37)",-22.9829747,-43.2163955,"R$1.175 por noite, originalmente R$1.528",Total de R$1.425
647,2024-08-20,1106088123099476918,SuhcasaCopacabana 54 Maravilhosa,entire_home,"5,0 (4)",-22.9636137,-43.1761448,R$1.187 por noite,Total de R$1.267
648,2024-08-20,1213225315553981709,Apart hotel bem localizado,entire_home,Novo,-22.97489216672003,-43.19363231528604,"R$1.187 por noite, originalmente R$1.447",Total de R$1.187
649,2024-08-20,1039705111245080998,Luxuoso 5 quartos Ipanema Beach,entire_home,,-22.98506,-43.20681,"R$1.197 por noite, originalmente R$2.129",Total de R$1.597
650,2024-08-20,847200065441747116,Luxo 5 quartos em Ipanema Beach,entire_home,,-22.984954621911864,-43.20804098978169,"R$1.211 por noite, originalmente R$2.174",Total de R$1.711
651,2024-08-20,689656216606922430,Cobertura Estilosa c/Vista Linda e Privacidade.,entire_home,"5,0 (112)",-22.962721,-43.203844,"R$1.255 por noite, originalmente R$1.422",Total de R$1.255
652,2024-08-20,2769276,RIO DE JANEIRO - HUMAITA - P/ COPA,entire_home,,-22.95761,-43.2002,R$1.255 por noite,Total de R$1.255
653,2024-08-20,812894766358919604,5 minutos da praia e do metrô.,entire_home,,-22.980472853813772,-43.19266721488497,R$1.255 por noite,Total de R$1.255
654,2024-08-20,1087025779471661106,Lindo apto em Ipanema (Posto 9),entire_home,,-22.98218419261016,-43.199243773354866,"R$1.278 por noite, originalmente R$1.558",Total de R$1.278
655,2024-08-20,1113189029176136245,Apto Confortável e Aconchegante,entire_home,,-22.95801,-43.17743,"R$1.278 por noite, originalmente R$1.558",Total de R$1.278
656,2024-08-20,1085685536042264719,Forte de Copacabana,entire_home,,-22.98384,-43.19175,"R$1.278 por noite, originalmente R$1.558",Total de R$1.278
657,2024-08-20,749302860013914198,(1008) A 150 Metros da Praia do Leblon com Piscina,entire_home,"4,53 (34)",-22.984592316893455,-43.22246823459864,R$1.302 por noite,Total de R$1.302
658,2024-08-20,555734040079897526,Copacabana Comfort Home,entire_home,,-22.978579483249174,-43.190606089385355,R$1.300 por noite,Total de R$1.480
659,2024-08-20,28439986,Copacabana 4 qtos 07/ 15 p à 02 quadras da praia,entire_home,"4,54 (79)",-22.9715,-43.18717,R$1.326 por noite,Total de R$1.826
660,2024-08-20,710820423232224437,Gávea Nobre II,entire_home,,-22.9779689,-43.2295218,R$1.341 por noite,Total de R$1.541
661,2024-08-20,48142113,Apto em Copacabana 2 quartos proximo a praia,entire_home,"5,0 (12)",-22.963032,-43.177376,R$1.355 por noite,Total de R$1.535
662,2024-08-20,1071272718919634274,Apartamento da estilista,entire_home,,-22.97741766529024,-43.19594353437424,"R$1.369 por noite, originalmente R$1.669",Total de R$1.369
663,2024-08-20,805678708999908578,Apartamento na Zona Sul,entire_home,,-22.929641038377078,-43.18980255586914,R$1.369 por noite,Total de R$1.369
664,2024-08-20,2899080,Mundial Brasil 2014,entire_home,,-22.92015,-43.21217,R$1.369 por noite,Total de R$1.369
665,2024-08-20,1009997489561756302,casa para temporada em niteroi,entire_home,,-22.89677846992464,-43.1035856239334,R$1.369 por noite,Total de R$1.369
666,2024-08-20,902238496784952631,Apartamento lindo e confortável,entire_home,,-22.93250898011841,-43.187601837430776,"R$1.376 por noite, originalmente R$1.676",Total de R$1.426
667,2024-08-20,52618146,Suíte Presidencial para Dia de Noiva de 180m2!,entire_home,,-22.93792,-43.19821,R$1.391 por noite,Total de R$1.541
668,2024-08-20,1042893652949005376,Apartamento em Copacabana,entire_home,,-22.96617,-43.19215,R$1.426 por noite,Total de R$1.426
669,2024-08-20,1089043897885324759,(1006) 2 Suítes a 150 Metros da Praia do Leblon co,entire_home,"5,0 (5)",-22.98379329454673,-43.221569074620646,R$1.446 por noite,Total de R$1.446
670,2024-08-20,976779871022450699,Hotel Nacional RJ - 2806,entire_home,Novo,-22.9981,-43.24069,"R$1.461 por noite, originalmente R$1.781",Total de R$1.461
671,2024-08-20,2774007,ALUGO APARTAMENTO PARA COPA,entire_home,,-22.91961,-43.23735,R$1.484 por noite,Total de R$1.484
