,id,name,room_type_category,rate,latitude,longitude,address,neighbourhood,regionName,city,daily_price,total_price
221,1129745195489580306,Aparto Behind Copacabana Palace,entire_home,0,-22.9663756,-43.17933730000001,Avenida Nossa Senhora de Copacabana,Copacabana,Região Sudeste,Rio de Janeiro,514,664
222,1071713095792838317,Copacabana / Rio de Janeiro,entire_home,"5,0",-22.9621149,-43.1769144,Rua Belfort Roxo,Copacabana,Região Sudeste,Rio de Janeiro,518,718
223,1205963548743640126,Rock in Rio em Copacabana!,entire_home,0,-22.96596,-43.17491,Orla Copacabana,Copacabana,Região Sudeste,Rio de Janeiro,519,519
224,2717180,2 quartos aconchegantes no Leblon,entire_home,"4,73",-22.98307,-43.22372,Rua João de Barros,Leblon,Região Sudeste,Rio de Janeiro,528,801
225,47996320,Apartamento inteiro-Copacabana a 500m da praia.,entire_home,"4,83",-22.97323,-43.19094,Rua Barata Ribeiro,Copacabana,Região Sudeste,Rio de Janeiro,528,628
226,1085767755248594372,Casa próxima á praia,entire_home,0,-22.9641358,-43.1898909,Ladeira dos Tabajaras,Copacabana,Região Sudeste,Rio de Janeiro,531,531
227,1215103392623428792,Ipanema Studio pertinho de tudo!,entire_home,0,-22.98397,-43.19478,Rua Piragibe Frota Aguiar,Copacabana,Região Sudeste,Rio de Janeiro,535,685
228,1025371853764552246,Apartamento aconchegante,entire_home,"5,0",-22.93901,-43.17794,Rua Marquês de Abrantes,Flamengo,Região Sudeste,Rio de Janeiro,533,561
229,1155303921720415447,Rio Camarote VIP Executivo Samba Maracanã Museus,entire_home,0,-22.92601288430284,-43.255687564750396,Rua Botucatu,Grajaú,Região Sudeste,Rio de Janeiro,535,835
230,616752403075468111,Familia um bem maior,entire_home,"5,0",-22.96783,-43.18283,Rua Paula Freitas,Copacabana,Região Sudeste,Rio de Janeiro,549,1099
231,1065156540179461978,Aconchego do Humaitá,entire_home,"4,67",-22.9569898,-43.198384,Rua Desembargador Burle,Humaitá,Região Sudeste,Rio de Janeiro,553,753
232,38781254,Copacabana Charmoso 3 qtos,entire_home,"4,8",-22.96399,-43.17544,Rua Ministro Viveiros de Castro,Copacabana,Região Sudeste,Rio de Janeiro,549,799
233,1091497391498645922,Engenhão jogos shows jto. Barra,entire_home,0,-22.89375,-43.29965,Rua Bento Gonçalves,Engenho de Dentro,Região Sudeste,Rio de Janeiro,548,698
234,584034938955469245,Tim304| Estúdio moderno No Alto-Leblon,entire_home,"4,6",-22.98413848876953,-43.232765197753906,Rua Timóteo da Costa,Leblon,Região Sudeste,Rio de Janeiro,556,806
235,1084819331767439725,Apartamento aconchegante no Estácio,entire_home,0,-22.91671151762582,-43.207954329638675,Rua Professor Quintino do Vale,Estácio,Região Sudeste,Rio de Janeiro,557,625
236,856435034922273644,Cantinho do Rio 2. Conforto e Lazer!,entire_home,0,-22.910752258162347,-43.20109601807199,Rua Corrêa Vasques,Cidade Nova,Região Sudeste,Rio de Janeiro,556,857
